Country Name,Country Code,Year,Forest area (% of land area),Urban population (% of total population),Urban population growth (annual %),"Access to electricity, urban (% of urban population)",Renewable energy consumption (% of total final energy consumption),Individuals using the Internet (% of population),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: energy depletion (% of GNI),Adjusted savings: mineral depletion (% of GNI),Merchandise trade (% of GDP),Adjusted savings: natural resources depletion (% of GNI),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Trade (% of GDP),Forest rents (% of GDP),Mineral rents (% of GDP),GDP (current US$),"GDP per capita, PPP (current international $)",GNI (current US$),"Compulsory education, duration (years)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Number of infant deaths,"International tourism, number of arrivals","Net bilateral aid flows from DAC donors, United States (current US$)","Net bilateral aid flows from DAC donors, Japan (current US$)","Net bilateral aid flows from DAC donors, Germany (current US$)","Net bilateral aid flows from DAC donors, United Kingdom (current US$)","Net bilateral aid flows from DAC donors, Norway (current US$)","Net bilateral aid flows from DAC donors, Total (current US$)",Current health expenditure (% of GDP),Prevalence of undernourishment (% of population),"International tourism, expenditures (% of total imports)","Communications, computer, etc. (% of service imports, BoP)","Foreign direct investment, net outflows (BoP, current US$)",CO2 emissions (metric tons per capita),Cost of business start-up procedures (% of GNI per capita),Military expenditure (% of GDP),Import value index (2000 = 100),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total",Energy intensity level of primary energy (MJ/$2011 PPP GDP),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Research and development expenditure (% of GDP),Researchers in R&D (per million people),"Automated teller machines (ATMs) (per 100,000 adults)","Hospital beds (per 1,000 people)","Physicians (per 1,000 people)",High-technology exports (current US$),"New business density (new registrations per 1,000 people ages 15-64)",Exports as a capacity to import (constant LCU),"International tourism, number of departures"
Andorra,AND,2000,34.04255319148936,92.395,1.28266683917017,100.0,14.5081996917725,10.53883561,,,,,,,,,0.0,0.0,1429049198.4521835,,,10.0,0.9,1.0,2.6,3.9,5.0,10991000.0,,,,,,,5.96051121,,,,,7.952286282306162,,,100.0,,,,99.957431968077,,,,3.2000000477,2.5688,,,,
Angola,AGO,2000,62.3314430095452,50.087,5.681764369017562,,73.4411010742188,0.105045562,2.37825596091892,45.2609416494141,0.0,120.0595645500354,45.2609416494141,89.68583118513823,62.86127826972021,152.54710945485846,1.43272575746172,0.0,9129634978.337732,3289.409549468185,7448767581.295753,4.0,29.6,14.7,25.7,34.6,92911.0,51000.0,37310001.373291,21469999.3133545,11319999.6948242,8270000.45776367,16590000.152587902,234519998.99745,1.90859938,,2.544006077735068,81.08036021885778,0.0,0.7544763717456955,,6.39260315427404,100.0,,,5.21828089060902,100.0,,,,,,,,85555847873.41196,
Antigua and Barbuda,ATG,2000,21.477272727272727,32.127,0.6450177454405024,100.0,0.0,6.482225737,0.818535284011957,0.0,0.0,55.54410182861241,,98.6016493366798,74.7669415561133,173.3685908927931,0.0,0.0,826370370.3703703,16843.121609506685,781851481.4814813,11.0,1.3,1.6,4.4,5.3,19.0,634000.0,-50000.0007450581,479999.989271164,,3230000.01907349,,4120000.012218955,4.69438457,,,34.063644423519044,0.0,4.341705369242306,,,100.0,,,3.37133214236793,100.0,,,,,,,,,
Argentina,ARG,2000,12.196485535446104,89.142,1.3139780189240065,96.5096893310547,9.84799957275391,7.038683086,0.953868911067951,1.88959833924189,0.001216485990374,18.11904311607429,1.890814825232264,10.986375232557627,11.636069545176657,22.622444777734284,0.0400915273379334,0.0020203668379606,284203750000.0,11618.793233492584,276655968900.0,10.0,1.3,1.5,3.9,5.3,12559.0,2909000.0,-2470000.02861023,37290000.9155273,7400000.09536743,9520000.45776367,9999.99977648258,53770002.24404037,8.2200098,,16.511029655632743,21.16303349119048,901028199.337856,3.577628212854423,,1.1488226766688698,100.0,16.1290412248255,122.0,4.66000419810886,99.5499711446191,0.43884,716.55644,,4.1,,,,93138531842.63052,
Armenia,ARM,2000,11.683877766069548,64.666,-1.0643483990257323,99.1,7.1628999710083,1.300470022,3.26498555976107,0.0,0.159062293153452,61.52031549686461,0.159062293153452,22.1614188089398,50.07191141839685,72.23333022733665,0.0220968729002383,0.271357452426392,1911563668.8500648,2658.344321730412,1970535935.802909,10.0,1.0,0.9,2.0,2.2,1073.0,45000.0,103059997.558594,9140000.34332275,8920000.07629395,2750000.0,2109999.89509583,151439997.76802984,4.19580364,,5.679793969109148,18.4331618792012,0.0,1.1597613628108183,,3.56002487253697,100.0,,,9.3951257242567,100.0,0.19106,,,6.44,2.7007,,,471593411544.8345,111000.0
Aruba,ABW,2000,2.333333333333333,46.717,1.1919996108161903,100.0,0.175300002098083,15.44282295,2.38913435863924,0.0,0.0,272.49603397068165,0.0001900314300616,74.40032443909014,70.67285327480707,145.0731777138972,0.000703181870217,0.0,1873452513.9664805,32026.9727415196,1849430167.5977647,,,,,,,1211000.0,50000.0007450581,,,,,11409999.845549457,,,10.824497488369364,32.32405115689435,2625698.32402235,,,,100.0,,,,,,,,,,,,,
Australia,AUS,2000,17.158155760644597,84.235,1.032138731249275,100.0,8.42399978637695,46.75611561,1.51774395538554,1.2379233164257,0.400415053902827,32.58102763698351,1.638338370328527,19.418124227394586,21.57597903651382,40.99410326390841,0.177844153316581,0.94551226565072,415576210513.09424,26343.07670257132,403586007661.8728,10.0,0.6,0.7,2.6,3.7,1261.0,4931000.0,,,,,,,7.61383343,,10.26985248569608,27.79959343890532,4095019475.21023,17.689656972797998,,1.82984191251005,100.0,89.70541156331512,1333.0,6.70475375527491,33.8320687954829,1.57558,3475.32527,,4.04,2.4944,,,137925875214.50134,3498000.0
Austria,AUT,2000,46.47783967062243,60.213,-0.2201759915397488,100.0,26.4358005523682,33.73013295,0.592577826310089,0.0669027499610251,0.0007987090445791,71.1911368980941,0.0677014590056042,43.34627395198872,42.01422166593448,85.3604956179232,0.0652856873752942,0.0067243424162109,196799778883.361,29376.019736475315,195085959093.4217,9.0,0.6,0.7,2.7,3.4,371.0,17982000.0,,,,,,,9.20371437,,,,5509489589.0,7.929785512595166,,0.98031858008593,100.0,15.211002862834496,97.0,3.87048993881445,98.6784258759277,1.88602,,,7.95,3.8492,,,110167202227.97122,7528000.0
Azerbaijan,AZE,2000,11.951092548877188,51.386,1.213443781203093,99.7049277072883,2.0650999546051,0.147757576,11.0966081241772,27.7162279666744,0.0,55.32166762044043,27.7162279666744,40.17083147877323,38.37773680083084,78.54856827960408,0.0031655431777504,0.0,5272798390.701833,3385.5127273496973,5178252123.379526,9.0,3.0,2.3,3.2,4.9,8618.0,681000.0,18889999.3896484,36389999.3896484,9170000.07629395,750000.0,2230000.01907349,90839999.73349269,2.94894385,,6.819819383508095,43.101366538082885,760000.0,4.971050865989116,,2.26786206311863,100.0,,,13.1776104151094,100.0,0.336,,,8.69,3.5743,,,2186440144.9052854,1326000.0
Bahamas  The,BHS,2000,50.935064935064936,82.007,1.5685884628526503,100.0,0.0,8.0,0.456382531028308,0.0,0.0,32.81136437082042,0.0,38.047562858526064,41.59738103404087,79.64494389256693,0.0065462344231874,0.0,8076470000.0,28034.196516134623,7936270000.0,12.0,2.3,1.8,4.8,8.7,74.0,4204000.0,5179999.82833862,,,,,5189999.828115103,3.80487037,,11.566149735108583,43.06411356368458,140132000.0,7.180123806807697,,,100.0,,,3.0007525695165,100.0,,,,3.5,,,,4432015242.29075,
Bahrain,BHR,2000,0.5211267605633803,88.372,4.310689842549522,100.0,0.0,6.153732546,3.95279056199388,4.67671649095134,0.0,119.46508590964449,4.677141587174825,79.18066702859741,56.62846829926782,135.80913532786525,0.0004429970159973,0.0,9062898936.170212,42181.90604300479,8839275265.957447,,1.8,1.4,2.7,3.3,157.0,3869000.0,,1120000.00476837,29999.999329447703,,,1640000.0136345606,3.56132603,,8.281287454137122,9.734954443400468,9552708.29400052,23.89371210183416,,3.9616709688485305,100.0,73.09305826596042,36.0,11.0783812618698,100.0,,,,2.75,1.0202,,,4213034386.692232,
Bangladesh,BGD,2000,14.752462856264886,23.59,3.610831944820651,81.2,59.021800994873,0.071039423,0.930880741084979,0.20665651137223,0.0,28.615440996277886,0.384611039455026,12.3442012279919,16.9775131339119,29.3217143619038,0.20099616771027,0.0,53369787318.62453,1331.5484286104827,55101749155.237526,5.0,6.9,4.2,5.9,8.5,219496.0,199000.0,62540000.9155273,201619995.117188,36680000.3051758,103360000.610352,18379999.1607666,691349994.7711835,2.07144356,,4.869155827645068,13.54625565204413,2000000.0,0.1695939416563313,,1.3571191812402,100.0,4.107529953065772,364.0,3.53893810027274,100.0,,,,,,,,217160343313.1806,1128000.0
Barbados,BRB,2000,14.651162790697676,33.827,-0.5667459934028445,100.0,14.3187999725342,3.973678355,0.721163907992956,0.365938272738452,0.0,46.67429318516098,0.365938272738452,43.235822846870406,47.34270305605492,90.5785259029253,0.0047336582060701,0.0,3059500000.0,12705.122873718114,2964350000.0,11.0,1.0,1.5,3.4,4.9,52.0,1078000.0,300000.011920929,289999.99165535,39999.9991059303,189999.997615814,59999.9986588955,2890000.024810436,5.33187246,,9.680292945609914,38.03441033838155,22832500.0,4.5670341164814685,,,100.0,55.77806831181565,22.0,4.20697785454309,100.0,,,,,1.3444,,,,
Belarus,BLR,2000,40.785841056990726,69.973,0.2330498579090955,100.0,5.64370012283325,1.860398126,7.87578103827782,1.36012172311899,0.0,125.37962293897394,1.36012172311899,69.2108213448948,72.3983446101294,141.6091659550242,0.717797499736852,0.0,12738912133.891212,5808.357425870872,12686259414.22594,9.0,1.5,1.4,4.2,8.6,882.0,2030000.0,4380000.11444092,209999.993443489,4449999.80926514,209999.993443489,79999.9982118607,16539999.933913356,5.2760601,,3.243640756937058,38.38768115942029,200000.0,5.309826736716164,,1.34698415075765,100.0,,,14.0876945822948,100.0,0.7221,,,12.61,3.2998,,,12954885799.031988,4747000.0
Belgium,BEL,2000,22.03764861294584,97.129,0.308431312307231,100.0,1.44379997253418,29.43169169,0.882119779027951,2.28405471509445e-05,0.0,154.90049895388188,0.0001789815403461,72.54739515805667,69.68273990897758,142.23013506703427,0.024653344662918,0.0,236204532891.10007,27784.57150416843,242291966095.4487,12.0,0.7,0.8,2.5,3.8,545.0,6457000.0,,,,,,,7.9991765,,,,86361710000.0,11.440556029752468,,1.34121027642881,100.0,77.25529978890413,161.0,6.43243066163186,99.2754155655164,1.93619,2970.19422,,6.72,2.8204,,,222547562775.2797,7932000.0
Belize,BLZ,2000,63.976326172731255,45.398,3.022765797215441,95.0,34.5526008605957,5.963835303,0.943704429742731,0.0,0.0012822220087655,86.53092648362531,0.0012822220087655,52.97222615650836,73.6730377264624,126.64526388297077,0.274196077282364,0.0016327068735941,832072450.0,5558.968226643655,779173350.0,8.0,2.3,2.4,6.0,11.0,146.0,374000.0,-519999.980926514,670000.016689301,170000.00178813902,1700000.04768372,209999.993443489,9690000.278875235,3.99033976,,7.454288671242295,27.433314805549585,6223889.49,1.819578666451013,,0.8552520882158521,100.0,,,6.36232976383274,100.0,,,,1.9,1.015,,,881534600.0,
Benin,BEN,2000,36.67213550904576,38.333,3.81690622970985,47.4854698181152,70.2928009033203,0.225247851,0.848356986598904,0.0749208765067124,0.0,28.55120671571878,1.3539713271421925,20.605302548955446,26.74284895232899,47.348151501284434,3.26907071298848,0.0,3519991326.484636,1759.7203568593316,3507693520.77138,6.0,21.1,11.1,10.7,12.1,24217.0,1068000.0,29719999.3133545,6159999.84741211,21719999.3133545,140000.000596046,,193349998.7013638,3.10270309,,7.047215785976681,19.60738643394204,-69088213.0120497,0.2228389212498903,,0.412852302408383,100.0,,,7.25496150279528,100.0,,,,,,,,606180662055.5067,
Bermuda,BMU,2000,18.51851851851852,100.0,0.8902087736141645,100.0,0.0,42.94986002,,,,22.1537782536099,,,,,0.0,0.0,3480219000.0,53983.10780265028,,13.0,,,,,,539000.0,,,9999.99977648258,19999.9995529652,,59999.998658895485,,,,,13900000.0,,,,100.0,61.662786163744286,22.0,2.28818691121647,100.0,,,,,,,,,
Bhutan,BTN,2000,65.47738693467336,25.418,6.403451212572714,96.74,91.3981018066406,0.400944447,1.73429976034067,0.0176380301725707,0.0,65.49435078643265,2.0508313862500707,30.39421021911962,49.95924492593771,80.35345514505732,3.89916917378364,0.0,424464089.8976413,2696.378391366022,423968319.98219854,,11.2,4.5,9.6,8.7,918.0,7599.99990463257,,7179999.82833862,1019999.98092651,19999.9995529652,1440000.05722046,34720000.13850629,4.44684267,,,,,0.6260426994961202,,,100.0,,,21.7941359920036,100.0,,,,,,,,5797822100.0,
Bolivia,BOL,2000,50.86438659651067,61.787,2.7835506775146364,95.81211,29.7437992095947,1.442763585,2.51422676754473,2.48075197238153,0.210054371047996,36.43762657309594,2.690806343429526,18.274745971826025,27.32302913783824,45.59777510966427,0.361398805432875,0.278147846206813,8397912509.096789,3437.6164275502074,8172380981.644699,8.0,4.7,3.7,8.8,8.4,14107.0,319000.0,97370002.746582,43729999.5422363,45340000.1525879,12590000.1525879,2799999.95231628,361610002.5139749,4.39554119,,5.58272051746044,11.897023605884366,2800000.0,0.9503140193887818,,2.0629712007857,100.0,,,5.58123125147981,100.0,0.28744,71.2736,,,,,,4271708453.327171,201000.0
Bosnia and Herzegovina,BIH,2000,41.2431640625,42.384,0.95472981712995,100.0,19.3526000976563,1.08296075,4.20283468869974,0.0165122458764301,0.0061470618315103,75.00800732959014,0.0480992888351734,21.88381859880268,63.47392447365456,85.35774307245723,1.0712588312551,0.0585625309799742,5567405599.3120575,4598.155111571585,6096206688.648139,8.0,0.8,0.9,2.0,2.9,367.0,171000.0,85750000.0,24360000.6103516,91510002.1362305,7079999.92370605,30780000.6866455,648910000.1007321,7.65342188,,2.212970341546136,15.658888623293471,0.0,3.718833773728559,,,100.0,,,7.71684128490413,100.0,,,,3.38,1.4547,,,3004576231.117708,
Botswana,BWA,2000,31.091877966580206,53.219,3.637420830227996,39.0889167785645,36.5603981018066,2.902666622,1.29030856583069,0.100688958037668,1.36273084393046,82.16532784303898,1.463419801968128,51.83181007012993,40.09291961978808,91.924729689918,0.30366182749987,1.93421059880784,5788329609.157553,8461.967022600855,5436161217.609471,,8.8,5.2,9.7,23.3,2143.0,1306000.0,990000.009536743,6059999.94277954,6650000.09536743,3730000.01907349,2670000.07629395,27980000.16435981,5.82726383,,9.006647909334912,18.78162829771153,2252735.31731967,2.4523331546314715,,3.19124295081058,100.0,16.889328459342586,16.0,4.17748094311282,100.0,,,,,0.3037,,,44739582756.40292,
Brazil,BRA,2000,65.93435860131561,81.192,2.2850899256674047,99.0293731689453,42.7639999389648,2.870685159,0.956633363499095,1.13780990952933,0.159594466073272,17.35636806047378,1.297404375602602,10.188048187509985,12.451713727280987,22.639761914790974,0.438082665184474,0.28730140547217,655448188259.3507,9060.788666957324,636572488761.7185,8.0,1.5,1.8,5.4,8.1,106815.0,5313000.0,-57849998.4741211,169610000.61035198,49459999.0844727,9779999.73297119,2309999.94277954,239510000.71689537,8.33459282,,6.234045683928787,42.49884812755506,2497066000.0,1.7888288436811144,,1.73072614713627,100.0,34.50346099828032,457.0,3.94784572124322,90.7914047732454,1.04751,295.23457,,2.82,1.3544,,,175988082463.28998,3228000.0
British Virgin Islands,VGB,2000,24.46666666666667,41.774,2.083780820924388,97.2216186523438,1.04649996757507,,,,,,,,,,,,,,,12.0,,,,,,272000.0,9999.99977648258,,,1179999.94754791,,4989999.936893583,,,,,36367397000.0,,,,100.0,,,,,,,,,,,,,
Brunei Darussalam,BRN,2000,75.33206831119544,71.164,2.806700553870452,100.0,0.0,8.996284534,1.45781435047824,21.214254899437,0.0,83.48395290568808,21.214254899437,67.35433192013178,35.817293549423404,103.17162546955518,0.0698944570007547,0.0,6001153306.264502,66439.13671948623,6001153306.264502,,1.5,1.4,3.1,4.1,62.0,984000.0,,189999.997615814,9999.99977648258,9999.99977648258,,619999.9898672102,2.5512445,,,,,13.29667493081527,,4.06920549004446,100.0,,,4.04010435369227,0.0,,,,2.46,1.0084,,,6620813943.717111,
Bulgaria,BGR,2000,30.507095724487023,68.899,-0.1711576506429262,100.0,7.9653000831604,5.370923469,6.25427572557739,0.0557733004281098,0.0108053622891566,86.03459876218488,0.0665786627172664,36.21885804379816,41.52684887995429,77.74570692375245,0.462419550847499,0.043496792944905,13245833843.545424,6421.959134847061,12922427259.454622,9.0,1.6,1.6,2.9,4.1,940.0,4922000.0,119160003.662109,20729999.5422363,29079999.9237061,4550000.19073486,9999.99977648258,302509999.6645,5.82971001,,9.961158455106546,18.533201183322443,3283925.31454843,5.30343792027879,,2.6711704653623,100.0,0.9745705821525488,23.0,10.6589912958134,99.9619335362535,0.49517,1185.17766,,7.41,3.4416,,,15967664153.313498,2337000.0
Burkina Faso,BFA,2000,26.37609649122807,17.844,6.715660271953518,40.3596878051758,85.4049987792969,0.077080169,0.653869781656787,0.0,0.0282046158881021,27.624588658325155,1.1512124240926522,8.844717485267703,26.278224485158624,35.12294197042633,5.31727632314185,0.0383039839113427,2968369991.4672885,921.9391767499206,2964619404.174552,10.0,24.4,9.9,14.5,16.2,47614.0,126000.0,9329999.92370605,21250000.0,22239999.7711182,449999.988079071,439999.997615814,269370002.8453023,2.9502635,,,,167140.465,0.0904552405502056,,1.39216275310692,100.0,,,6.80220412250254,100.0,,,,,,,,221349192533.29,
Burundi,BDI,2000,7.552180685358256,8.246,4.346910029948727,50.6822319030762,93.225700378418,0.077248447,0.569412845196566,0.0,0.0,22.745912629758468,14.4762393347383,6.318970594256604,16.23475389477203,22.55372448902864,15.0609351881395,0.0,870486065.8831366,527.0808746500228,884786065.8831366,,39.2,24.0,26.3,32.8,25764.0,29000.0,959999.978542328,239999.994635582,3019999.98092651,1740000.00953674,5340000.15258789,50090000.21964311,6.17697144,,,20.0841763993594,-11683240.6730743,0.0407595638789372,,4.86240221311558,100.0,,,11.3449435022132,100.0,,,,,0.052,,,34277860415.05214,28000.0
Cabo Verde,CPV,2000,9.856079404466502,53.435,3.57590089602689,,38.5195999145508,1.822443852,0.764860681405864,0.0,0.0,44.69358469045596,0.198098945657997,27.0072185431265,60.51338981836516,87.52060836149165,0.414438588836616,0.0,539227277.6264108,3032.197182697945,525174330.39985096,6.0,2.4,2.3,3.9,6.3,368.0,115000.0,2900000.09536743,10739999.7711182,2150000.09536743,39999.9991059303,59999.9986588955,71289999.98793007,4.43401194,,12.551034622598328,16.841968314782534,1396102.27630299,0.5138050063291435,,1.15402591313906,100.0,,,2.67090202715237,100.0,,,,,,,,,
Cambodia,KHM,2000,61.07523226829821,18.586,2.8620889998736594,60.6,81.138801574707,0.04702264,1.04024040960419,0.0,0.0,91.0774798473362,0.480035901578175,49.84623523029264,61.76329886605808,111.60953409635071,2.45302224847305,0.0,3654031716.268812,1075.410203052197,3533900964.86767,,12.5,5.5,9.1,11.8,26676.0,466000.0,21459999.084472697,99209999.0844727,19399999.6185303,13029999.7329712,6150000.09536743,274759999.0349263,6.54149628,,2.297577312168141,25.846787905614622,-23601981.4604443,0.1612473171037908,,2.20981320983564,100.0,,,8.54420691439083,100.0,,,,,0.1684,,,7019664981000.0,41000.0
Cameroon,CMR,2000,45.68866747054219,45.542,3.942819190344893,79.0,84.4849014282227,0.252120078,0.671496032664873,4.71695418059559,0.015870617430814,31.43874677739688,4.732824798026404,24.85681273170465,23.071131514310288,47.92794424601495,2.79031616640974,0.020309663225932,10566578952.785664,2028.825591448128,9971651797.360771,6.0,19.8,10.8,14.2,20.4,55026.0,,2529999.97138977,15810000.4196167,46959999.0844727,8069999.694824221,689999.997615814,252339999.9085814,4.29762173,,9.614278331392509,54.54330167448765,10210107.7916782,0.4318695490972508,,1.32474886472414,100.0,,,6.89961322561551,100.0,,,,,,,,2138079872644.6685,
