FileName,Greenery,Land/Barren Land,Construction
global_monthly_2018_09_mosaic_L15-1185E-0935N_4742_4450_13.tif,0.421,94.83,5.924
global_monthly_2019_04_mosaic_L15-1439E-1134N_5759_3655_13.tif,38.633,67.56,2.302
global_monthly_2018_01_mosaic_L15-1185E-0935N_4742_4450_13 2.tif,87.504,15.17,5.075
global_monthly_2018_02_mosaic_L15-1615E-1205N_6460_3370_13.tif,58.614,39.798,16.651
global_monthly_2018_01_mosaic_L15-1138E-1216N_4553_3325_13 2.tif,27.199,74.867,14.312
global_monthly_2018_08_mosaic_L15-0595E-1278N_2383_3079_13.tif,94.294,5.338,3.591
global_monthly_2019_07_mosaic_L15-1049E-1370N_4196_2710_13 2.tif,64.914,32.192,17.148
global_monthly_2017_10_mosaic_L15-1204E-1202N_4816_3380_13.tif,0.023,28.667,98.748
global_monthly_2018_01_mosaic_L15-0434E-1218N_1736_3318_13.tif,0,97.798,2.989
global_monthly_2019_11_mosaic_L15-1716E-1211N_6864_3345_13.tif,79.321,25.864,6.507
global_monthly_2018_03_mosaic_L15-1479E-1101N_5916_3785_13.tif,30.653,65.979,9.083
global_monthly_2018_07_mosaic_L15-1210E-1025N_4840_4088_13 2.tif,74.94,17.102,0.588
global_monthly_2020_01_mosaic_L15-1617E-1207N_6468_3360_13 2.tif,65.409,40.572,6.171
global_monthly_2019_11_mosaic_L15-0760E-0887N_3041_4643_13.tif,63.102,33.325,11.45
global_monthly_2018_06_mosaic_L15-0595E-1278N_2383_3079_13.tif,77.22,23.261,12.405
global_monthly_2019_11_mosaic_L15-0357E-1223N_1429_3296_13 2.tif,54.082,49.968,9.583
global_monthly_2018_12_mosaic_L15-1748E-1247N_6993_3202_13.tif,37.15,62.259,7.866
global_monthly_2019_05_mosaic_L15-1389E-1284N_5557_3054_13 2.tif,8.968,90.583,13.128
global_monthly_2019_10_mosaic_L15-1172E-1306N_4688_2967_13.tif,73.357,34.25,2.059
global_monthly_2018_05_mosaic_L15-1481E-1119N_5927_3715_13 2.tif,11.58,93.575,1.732
global_monthly_2019_03_mosaic_L15-1209E-1113N_4838_3737_13.tif,18.251,85.362,3.958
global_monthly_2018_02_mosaic_L15-1200E-0847N_4802_4803_13 2.tif,73.969,28.428,8.859
global_monthly_2018_01_mosaic_L15-1049E-1370N_4196_2710_13.tif,85.745,15.887,5.169
global_monthly_2019_05_mosaic_L15-1709E-1112N_6838_3742_13.tif,88.439,6.994,4.127
global_monthly_2018_02_mosaic_L15-1439E-1134N_5759_3655_13.tif,34.108,69.775,9.433
global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13.tif,18.839,81.371,16.079
global_monthly_2019_01_mosaic_L15-0566E-1185N_2265_3451_13.tif,55.534,49.072,7.198
global_monthly_2019_09_mosaic_L15-1025E-1366N_4102_2726_13.tif,64.854,39.459,3.866
global_monthly_2019_04_mosaic_L15-1617E-1207N_6468_3360_13 2.tif,75.049,26.923,10.854
global_monthly_2019_04_mosaic_L15-1615E-1205N_6460_3370_13.tif,67.058,34.87,6.138
global_monthly_2018_10_mosaic_L15-1298E-1322N_5193_2903_13 2.tif,22.895,79.303,3.411
global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13.tif,22.611,79.69,18.136
global_monthly_2019_01_mosaic_L15-1185E-0935N_4742_4450_13.tif,66.602,32.068,11.253
global_monthly_2018_04_mosaic_L15-1538E-1163N_6154_3539_13.tif,83.418,21.372,5.224
global_monthly_2019_07_mosaic_L15-1025E-1366N_4102_2726_13.tif,69.787,26.982,10.701
global_monthly_2018_07_mosaic_L15-1209E-1113N_4838_3737_13 2.tif,26.081,70.933,0.513
global_monthly_2019_05_mosaic_L15-1690E-1211N_6763_3346_13.tif,67.981,30.052,8.312
global_monthly_2019_02_mosaic_L15-0614E-0946N_2459_4406_13.tif,51.547,42.939,7.721
global_monthly_2019_09_mosaic_L15-1172E-1306N_4688_2967_13 2.tif,67.158,39.74,2.782
global_monthly_2019_07_mosaic_L15-0434E-1218N_1736_3318_13 2.tif,0,94.045,2.776
global_monthly_2019_03_mosaic_L15-1204E-1202N_4816_3380_13 2.tif,0.256,46.541,96.839
global_monthly_2019_07_mosaic_L15-0577E-1243N_2309_3217_13.tif,90.188,11.58,4.333
global_monthly_2018_11_mosaic_L15-1617E-1207N_6468_3360_13 2.tif,50.69,49.859,11.818
global_monthly_2019_05_mosaic_L15-1479E-1101N_5916_3785_13.tif,11.839,91.942,1.38
global_monthly_2019_09_mosaic_L15-0434E-1218N_1736_3318_13.tif,0.107,96.287,5.459
global_monthly_2019_06_mosaic_L15-0977E-1187N_3911_3441_13 2.tif,0,1.75,99.917
global_monthly_2018_02_mosaic_L15-0586E-1127N_2345_3680_13 2.tif,67.201,32.11,12.442
global_monthly_2018_11_mosaic_L15-0387E-1276N_1549_3087_13.tif,13.632,70.978,39.043
global_monthly_2018_06_mosaic_L15-1703E-1219N_6813_3313_13 2.tif,81.797,22.394,10.748
global_monthly_2019_12_mosaic_L15-1298E-1322N_5193_2903_13.tif,63.808,47.882,0.289
global_monthly_2018_05_mosaic_L15-1209E-1113N_4838_3737_13.tif,10.333,93.06,10.547
global_monthly_2019_10_mosaic_L15-0457E-1135N_1831_3648_13.tif,78.446,25.49,11.712
global_monthly_2018_12_mosaic_L15-0434E-1218N_1736_3318_13 2.tif,0,96.822,1.301
global_monthly_2019_11_mosaic_L15-1438E-1134N_5753_3655_13.tif,77.722,24.331,7.202
global_monthly_2019_09_mosaic_L15-0577E-1243N_2309_3217_13.tif,92.697,9.068,1.93
global_monthly_2018_10_mosaic_L15-1204E-1204N_4819_3372_13.tif,2.214,36.325,89.573
global_monthly_2019_07_mosaic_L15-0434E-1218N_1736_3318_13.tif,0,94.045,2.776
global_monthly_2019_05_mosaic_L15-1298E-1322N_5193_2903_13 2.tif,87.577,23.382,1.921
global_monthly_2019_01_mosaic_L15-1748E-1247N_6993_3202_13 2.tif,29.702,69.925,7.257
global_monthly_2019_12_mosaic_L15-1209E-1113N_4838_3737_13 2.tif,6.358,96.183,0.555
global_monthly_2018_04_mosaic_L15-1209E-1113N_4838_3737_13.tif,11.538,90.374,43.929
global_monthly_2018_10_mosaic_L15-0387E-1276N_1549_3087_13.tif,18.121,58.822,45.618
global_monthly_2019_07_mosaic_L15-1276E-1107N_5105_3761_13 2.tif,23.871,94.347,4.641
global_monthly_2019_11_mosaic_L15-0457E-1135N_1831_3648_13.tif,0,0,0
global_monthly_2019_01_mosaic_L15-1615E-1205N_6460_3370_13 2.tif,70.932,32.691,8.116
global_monthly_2019_02_mosaic_L15-1289E-1169N_5156_3514_13 2.tif,2.641,38.706,90.213
global_monthly_2019_01_mosaic_L15-0595E-1278N_2383_3079_13.tif,45.642,57.289,6.421
global_monthly_2019_07_mosaic_L15-1716E-1211N_6864_3345_13 2.tif,78.546,23.621,11.914
global_monthly_2020_01_mosaic_L15-1298E-1322N_5193_2903_13 2.tif,32.05,70.797,1.851
global_monthly_2019_07_mosaic_L15-1296E-1198N_5184_3399_13 2.tif,95.711,14.21,87.639
global_monthly_2019_09_mosaic_L15-0487E-1246N_1950_3207_13 2.tif,88.943,11.194,5.154
global_monthly_2019_04_mosaic_L15-1479E-1101N_5916_3785_13.tif,13.191,91.444,1.487
global_monthly_2019_08_mosaic_L15-0434E-1218N_1736_3318_13.tif,0,95.188,3.592
global_monthly_2019_06_mosaic_L15-0577E-1243N_2309_3217_13.tif,85.952,14.723,6.947
global_monthly_2019_01_mosaic_L15-0358E-1220N_1433_3310_13 2.tif,53.425,46.352,14.482
global_monthly_2019_06_mosaic_L15-0434E-1218N_1736_3318_13.tif,0.001,94.221,4.457
global_monthly_2019_11_mosaic_L15-1481E-1119N_5927_3715_13 2.tif,88.022,18.779,1.925
global_monthly_2019_10_mosaic_L15-1438E-1134N_5753_3655_13.tif,84.595,17.964,7.229
global_monthly_2019_09_mosaic_L15-1691E-1211N_6764_3347_13 2.tif,85.295,14.664,2.411
global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13 2.tif,33.028,67.574,18.335
global_monthly_2019_08_mosaic_L15-0577E-1243N_2309_3217_13.tif,90.389,10.803,5.283
global_monthly_2018_11_mosaic_L15-1204E-1204N_4819_3372_13.tif,17.319,58.272,76.433
global_monthly_2018_11_mosaic_L15-1389E-1284N_5557_3054_13 2.tif,19.937,84.768,21.693
global_monthly_2018_12_mosaic_L15-1672E-1207N_6691_3363_13.tif,54.168,47.084,13.215
global_monthly_2019_05_mosaic_L15-1615E-1205N_6460_3370_13.tif,73.862,25.564,9.283
global_monthly_2019_06_mosaic_L15-1049E-1370N_4196_2710_13 2.tif,48.839,39.606,28.138
global_monthly_2018_03_mosaic_L15-1439E-1134N_5759_3655_13.tif,33.858,68.14,13.361
global_monthly_2018_12_mosaic_L15-1716E-1211N_6864_3345_13 2.tif,64.675,39.252,8.212
global_monthly_2019_08_mosaic_L15-1025E-1366N_4102_2726_13.tif,66.554,29.363,10.045
global_monthly_2018_12_mosaic_L15-1296E-1198N_5184_3399_13 2.tif,26.539,64.684,76.082
global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13.tif,13.65,89.324,10.982
global_monthly_2018_01_mosaic_L15-0683E-1006N_2732_4164_13 2.tif,95.177,4.991,11.263
global_monthly_2019_04_mosaic_L15-1709E-1112N_6838_3742_13.tif,46.901,53.968,11.402
global_monthly_2019_01_mosaic_L15-1025E-1366N_4102_2726_13 2.tif,80.937,19.846,4.198
global_monthly_2018_12_mosaic_L15-1276E-1107N_5105_3761_13 2.tif,0.163,98.857,31.291
global_monthly_2019_12_mosaic_L15-1015E-1062N_4061_3941_13.tif,80.762,22.965,0.838
global_monthly_2018_01_mosaic_L15-0544E-1228N_2176_3279_13.tif,46.314,59.728,6.797
global_monthly_2019_03_mosaic_L15-0683E-1006N_2732_4164_13.tif,71.74,15.072,7.428
global_monthly_2019_01_mosaic_L15-0632E-0892N_2528_4620_13 2.tif,0.002,29.179,90.869
global_monthly_2018_06_mosaic_L15-1210E-1025N_4840_4088_13 2.tif,83.403,18.264,0.689
global_monthly_2019_03_mosaic_L15-0614E-0946N_2459_4406_13.tif,62.32,38.344,11.801
global_monthly_2019_04_mosaic_L15-1389E-1284N_5557_3054_13 2.tif,8.839,92.589,9.763
global_monthly_2019_10_mosaic_L15-0357E-1223N_1429_3296_13 2.tif,31.087,70.067,11.473
global_monthly_2019_04_mosaic_L15-1690E-1211N_6763_3346_13.tif,52.866,39.692,11.758
global_monthly_2018_05_mosaic_L15-1538E-1163N_6154_3539_13.tif,98.455,3.043,0.435
global_monthly_2019_06_mosaic_L15-1025E-1366N_4102_2726_13.tif,75.308,20.756,12.226
global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13.tif,29.138,69.698,23.181
global_monthly_2018_03_mosaic_L15-1200E-0847N_4802_4803_13 2.tif,78.033,24.026,7.133
global_monthly_2018_04_mosaic_L15-1481E-1119N_5927_3715_13 2.tif,12.442,92.523,1.303
global_monthly_2019_12_mosaic_L15-1703E-1219N_6813_3313_13 2.tif,30.134,76.195,1.945
global_monthly_2017_11_mosaic_L15-1204E-1202N_4816_3380_13.tif,0.003,2.561,99.136
global_monthly_2018_12_mosaic_L15-1703E-1219N_6813_3313_13.tif,45.404,59.686,3.849
global_monthly_2018_12_mosaic_L15-0977E-1187N_3911_3441_13 2.tif,0.062,34.292,96.843
global_monthly_2020_01_mosaic_L15-1389E-1284N_5557_3054_13 2.tif,36.788,78.274,4.727
global_monthly_2019_05_mosaic_L15-1617E-1207N_6468_3360_13 2.tif,60.09,31.202,13.056
global_monthly_2018_09_mosaic_L15-0595E-1278N_2383_3079_13.tif,93.703,5.829,4.247
global_monthly_2018_11_mosaic_L15-1298E-1322N_5193_2903_13 2.tif,13.354,84.964,2.196
global_monthly_2019_02_mosaic_L15-1209E-1113N_4838_3737_13.tif,20.551,85.706,0.43
global_monthly_2018_06_mosaic_L15-1209E-1113N_4838_3737_13 2.tif,7.282,95.169,9.545
global_monthly_2018_07_mosaic_L15-0595E-1278N_2383_3079_13.tif,86.058,12.572,6.176
global_monthly_2019_10_mosaic_L15-0760E-0887N_3041_4643_13.tif,70.419,29.702,6.242
global_monthly_2019_11_mosaic_L15-1172E-1306N_4688_2967_13.tif,79.136,25.134,2.887
global_monthly_2019_10_mosaic_L15-1716E-1211N_6864_3345_13.tif,63.537,44.188,6.255
global_monthly_2018_02_mosaic_L15-1479E-1101N_5916_3785_13.tif,25.703,75.872,7.926
global_monthly_2019_06_mosaic_L15-0434E-1218N_1736_3318_13 2.tif,0.001,94.221,4.457
global_monthly_2019_08_mosaic_L15-1172E-1306N_4688_2967_13 2.tif,66.908,37.765,3.826
global_monthly_2019_02_mosaic_L15-1204E-1202N_4816_3380_13 2.tif,8.11,75.078,88.687
global_monthly_2018_10_mosaic_L15-0487E-1246N_1950_3207_13.tif,79.128,24.691,4.867
global_monthly_2018_10_mosaic_L15-1617E-1207N_6468_3360_13 2.tif,67.915,32.718,15.385
global_monthly_2019_07_mosaic_L15-0544E-1228N_2176_3279_13.tif,94.49,6.14,11.001
global_monthly_2019_08_mosaic_L15-1049E-1370N_4196_2710_13.tif,67.232,29.335,16.591
global_monthly_2018_11_mosaic_L15-1138E-1216N_4553_3325_13.tif,4.063,91.828,17.571
global_monthly_2018_05_mosaic_L15-0614E-0946N_2459_4406_13.tif,30.807,71.795,9.362
global_monthly_2019_07_mosaic_L15-0977E-1187N_3911_3441_13 2.tif,0.225,58.671,99.128
global_monthly_2018_02_mosaic_L15-1690E-1211N_6763_3346_13.tif,24.231,75.904,10.399
global_monthly_2020_01_mosaic_L15-1014E-1375N_4056_2688_13.tif,90.517,10.581,3.961
global_monthly_2018_03_mosaic_L15-0586E-1127N_2345_3680_13 2.tif,48.178,51.192,15.944
global_monthly_2018_06_mosaic_L15-1185E-0935N_4742_4450_13.tif,9.215,89.719,6.056
global_monthly_2018_07_mosaic_L15-1703E-1219N_6813_3313_13 2.tif,88.614,11.766,11.415
global_monthly_2018_08_mosaic_L15-0566E-1185N_2265_3451_13.tif,91.678,5.501,5.938
global_monthly_2019_03_mosaic_L15-1538E-1163N_6154_3539_13.tif,87.764,15.282,3.491
global_monthly_2018_03_mosaic_L15-1615E-1205N_6460_3370_13.tif,70.819,29.475,10.276
global_monthly_2018_08_mosaic_L15-1185E-0935N_4742_4450_13.tif,0.224,96.389,3.461
global_monthly_2019_05_mosaic_L15-1439E-1134N_5759_3655_13.tif,35.376,69.88,5.19
global_monthly_2018_02_mosaic_L15-1709E-1112N_6838_3742_13.tif,23.143,78.624,18.554
global_monthly_2018_01_mosaic_L15-0566E-1185N_2265_3451_13 2.tif,86.474,12.556,2.276
global_monthly_2019_06_mosaic_L15-1049E-1370N_4196_2710_13.tif,46.308,35.911,21.661
global_monthly_2019_09_mosaic_L15-0544E-1228N_2176_3279_13.tif,57.393,43.449,6.634
global_monthly_2019_04_mosaic_L15-1298E-1322N_5193_2903_13 2.tif,41.545,60.364,3.068
global_monthly_2019_02_mosaic_L15-1014E-1375N_4056_2688_13.tif,77.767,23.103,5.28
global_monthly_2019_10_mosaic_L15-0457E-1135N_1831_3648_13 2.tif,78.446,25.49,11.712
global_monthly_2019_07_mosaic_L15-1615E-1206N_6460_3366_13 2.tif,89.669,10.073,3.694
global_monthly_2019_09_mosaic_L15-1389E-1284N_5557_3054_13.tif,39.426,79.319,16.667
global_monthly_2019_09_mosaic_L15-0361E-1300N_1446_2989_13.tif,49.359,37.926,15.829
global_monthly_2019_05_mosaic_L15-1335E-1166N_5342_3524_13.tif,0,2.421,99.987
global_monthly_2019_07_mosaic_L15-0358E-1220N_1433_3310_13.tif,15.378,76.763,28.23
