Country Name,Country Code,Year,Forest area (% of land area),Urban population (% of total population),Urban population growth (annual %),Access to electricity urban (% of urban population),Renewable energy consumption (% of total final energy consumption),Individuals using the Internet (% of population),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: energy depletion (% of GNI),Adjusted savings: mineral depletion (% of GNI),Merchandise trade (% of GDP),Adjusted savings: natural resources depletion (% of GNI),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Trade (% of GDP),Forest rents (% of GDP),Mineral rents (% of GDP),GDP (current US$),GDP per capita PPP (current international $),GNI (current US$),Compulsory education duration (years),Probability of dying among children ages 5-9 years (per 1000),Probability of dying among adolescents ages 10-14 years (per 1000),Probability of dying among adolescents ages 15-19 years (per 1000),Probability of dying among youth ages 20-24 years (per 1000),Number of infant deaths,International tourism number of arrivals,Net bilateral aid flows from DAC donors United States (current US$),Net bilateral aid flows from DAC donors Japan (current US$),Net bilateral aid flows from DAC donors Germany (current US$),Net bilateral aid flows from DAC donors United Kingdom (current US$),Net bilateral aid flows from DAC donors Norway (current US$),Net bilateral aid flows from DAC donors Total (current US$),Current health expenditure (% of GDP),Prevalence of undernourishment (% of population),International tourism expenditures (% of total imports),Communications computer etc. (% of service imports BoP),Foreign direct investment net outflows (BoP current US$),CO2 emissions (metric tons per capita),Cost of business start-up procedures (% of GNI per capita),Military expenditure (% of GDP),Import value index (2000 = 100),Market capitalization of listed domestic companies (% of GDP),Listed domestic companies total,Energy intensity level of primary energy (MJ/$2011 PPP GDP),PM2.5 air pollution population exposed to levels exceeding WHO guideline value (% of total),Research and development expenditure (% of GDP),Researchers in R&D (per million people),Automated teller machines (ATMs) (per 100000 adults),Hospital beds (per 1000 people),Physicians (per 1000 people),High-technology exports (current US$),New business density (new registrations per 1000 people ages 15-64),Exports as a capacity to import (constant LCU),International tourism number of departures
Andorra,AND,2000,34.04255319148936,92.395,1.2826668391701705,100.0,14.508199691772498,10.53883561,1.7210328097543701,2.741467285211095,0.33738315103095273,51.9936960355804,2.0855274003610584,31.644401246219783,36.952306518833616,68.59670776505341,0.34658870423587135,0.5882439846763199,1429049198.4521835,13526.260119166824,109554218803.55942,10.0,0.8999999999999999,1.0,2.6,3.9,5.0,10991000.0,77636514.2137264,13718988.835469007,18345175.77611719,5036648.363132238,4202751.853841387,326149803.1780971,5.96051121,8.503665186138893,5.5309573613123515,21.609885811418955,1845051286.8836365,7.9522862823061615,28.68536329638327,2.287147153749785,100.0,42.897709297204166,188.7874384800938,4.152918957449012,99.957431968077,0.4044417540871781,719.9975280840094,35.15316369280833,3.2000000477,2.5688,638675873.73312,1.0182989704045813,52504176215054.6,1537365.992813712
Angola,AGO,2000,62.3314430095452,50.087,5.6817643690175625,54.43624980110557,73.4411010742188,0.105045562,2.37825596091892,45.2609416494141,0.39821301004510423,120.0595645500354,45.26094164941409,89.68583118513823,62.861278269720216,152.54710945485846,1.4327257574617203,1.3075939338304066,9129634978.337732,3289.409549468185,7448767581.295753,4.0,29.6,14.700000000000001,25.7,34.6,92911.0,51000.0,37310001.373291016,21469999.313354492,11319999.694824204,8270000.457763642,16590000.152587906,234519998.99745,1.90859938,26.628307829049323,2.544006077735068,81.08036021885778,0.0,0.7544763717456955,103.03900997157749,6.39260315427404,100.0,29.531999758611068,151.803925273892,5.21828089060902,100.0,0.169721518829053,70.59806958372408,5.44236851325542,1.31997063851882,0.19502677707570787,32110756.63210541,0.5239094906464461,85555847873.41196,2230378.8239564146
Antigua and Barbuda,ATG,2000,21.477272727272727,32.127,0.6450177454405015,100.0,15.031367841615188,6.482225736999999,0.818535284011957,3.009949384690349,0.35071921762927905,55.54410182861241,2.6514254061277773,98.6016493366798,74.7669415561133,173.3685908927931,0.3506024065205792,0.7275469595940076,826370370.3703703,16843.121609506685,781851481.4814812,11.0,1.3,1.6,4.400000000000001,5.3,19.0,634000.0,-50000.00074505806,479999.98927116394,23769673.371342182,3230000.0190734565,3636397.8848589957,4120000.012218952,4.69438457,10.238714308535691,5.670617884044204,34.063644423519044,0.0,4.341705369242306,27.124763224766237,1.4502538522000477,100.0,53.0742293192848,240.2637334846951,3.37133214236793,100.0,0.3248644094318795,447.28948151538117,32.74809098003777,1.7262590226461099,1.2652072233785483,4087460583.8679285,1.8085018295764652,1113644522603.7517,2219117.9877112946
Argentina,ARG,2000,12.196485535446104,89.142,1.313978018924006,96.5096893310547,9.84799957275391,7.038683086,0.953868911067951,1.88959833924189,0.0012164859903740003,18.11904311607429,1.890814825232264,10.986375232557627,11.636069545176657,22.622444777734284,0.0400915273379334,0.0020203668379606,284203750000.0,11618.793233492586,276655968900.0,10.0,1.3,1.5,3.9000000000000004,5.3,12559.0,2909000.0,-2470000.0286102295,37290000.915527344,7400000.095367432,9520000.457763672,9999.999776482582,53770002.24404037,8.2200098,8.729704257820742,16.511029655632743,21.16303349119048,901028199.3378601,3.5776282128544232,33.001570310511944,1.1488226766688698,100.0,16.1290412248255,122.0,4.66000419810886,99.5499711446191,0.43884,716.55644,29.050007640465076,4.1,1.9679241237447413,1259029376.77534,1.406256370860627,93138531842.63051,2390849.052642963
Armenia,ARM,2000,11.683877766069548,64.666,-1.0643483990257323,99.1,7.1628999710083,1.300470022,3.26498555976107,2.9560856187128035,0.15906229315345197,61.52031549686461,0.159062293153452,22.1614188089398,50.07191141839685,72.23333022733665,0.0220968729002383,0.271357452426392,1911563668.850065,2658.344321730412,1970535935.802909,10.0,1.0000000000000002,0.8999999999999999,2.0,2.2,1073.0,45000.0,103059997.55859399,9140000.343322754,8920000.076293945,2750000.0,2109999.895095829,151439997.7680298,4.19580364,7.250588064617917,5.679793969109148,18.4331618792012,0.0,1.1597613628108183,19.164405871746553,3.56002487253697,100.0,36.03156540864101,184.55715625594203,9.3951257242567,100.0,0.19106,1041.9275407199134,28.86504226825976,6.44,2.7007,559308174.4261492,1.5398488155565568,471593411544.83453,111000.0
Aruba,ABW,2000,2.333333333333333,46.717,1.1919996108161897,100.0,0.175300002098083,15.442822950000002,2.38913435863924,12.479470354288427,0.053594391638495276,272.49603397068165,0.0001900314300616,74.40032443909014,70.67285327480707,145.0731777138972,0.000703181870217,0.1509753226428537,1873452513.9664805,32026.972741519603,1849430167.5977647,7.659376946669585,1.9176546312072595,1.753471805874029,3.6508886042503166,4.577765426577745,2277.3040489952446,1211000.0,50000.00074505806,-22157385.056589603,4390365.933078542,1581931.318983674,1678971.4859184958,11409999.845549464,4.622908616875317,8.91817855914261,10.824497488369364,32.32405115689435,2625698.3240356445,6.366901614359928,18.213440444121797,3.540522233266018,100.0,180.01072369578696,395.98316412755054,4.008892448110879,7.635482351530371e-08,0.5991699072430919,1875.9736207500637,33.661232766728894,2.3422195469914353,1.0163449010472454,11923786804.548445,3.5642565599774327,1923433924850.91,13564083.994463716
Australia,AUS,2000,17.158155760644597,84.235,1.0321387312492751,100.0,8.42399978637695,46.75611561,1.51774395538554,1.2379233164257,0.400415053902827,32.58102763698351,1.638338370328527,19.418124227394586,21.57597903651382,40.99410326390841,0.177844153316581,0.94551226565072,415576210513.09424,26343.07670257132,403586007661.8728,10.0,0.6,0.7,2.6,3.7,1261.0,4931000.0,-9258973.84534964,-80578470.50881028,5318135.496368334,29999.999329447746,355194.71065977216,-28258760.681164503,7.61383343,4.952445359664425,10.26985248569608,27.799593438905323,4095019475.2102356,17.689656972797998,5.996277664300722,1.82984191251005,100.0,89.70541156331512,1333.0,6.70475375527491,33.8320687954829,1.57558,3475.32527,84.22589409966712,4.04,2.4944,12177183385.329346,7.645275567100054,137925875214.50134,3498000.0000000005
Austria,AUT,2000,46.47783967062243,60.213,-0.2201759915397501,100.0,26.4358005523682,33.73013295,0.592577826310089,0.0669027499610251,0.0007987090445790998,71.1911368980941,0.0677014590056042,43.34627395198872,42.01422166593448,85.3604956179232,0.0652856873752942,0.006724342416210901,196799778883.361,29376.01973647532,195085959093.4217,9.0,0.6,0.7,2.7,3.4,371.0,17982000.0,36043893.50871876,25525104.12686777,24729238.77471237,4840900.276783466,7301429.625652559,359656252.64223397,9.20371437,4.85118232717252,4.263332785857743,32.19436669736218,5509489588.9999695,7.929785512595166,8.561412298154762,0.98031858008593,100.0,15.211002862834496,97.0,3.87048993881445,98.6784258759277,1.8860200000000003,1914.3628469919254,56.60786185442061,7.95,3.8492,3595496260.4078383,3.414269073168659,110167202227.97124,7528000.0
Azerbaijan,AZE,2000,11.951092548877188,51.386,1.2134437812030932,99.7049277072883,2.0650999546051,0.147757576,11.0966081241772,27.7162279666744,1.0811055768747693,55.32166762044044,27.7162279666744,40.17083147877323,38.37773680083084,78.54856827960408,0.0031655431777504,2.087013310223773,5272798390.701832,3385.5127273496973,5178252123.379526,9.0,3.0,2.3,3.2,4.9,8618.0,681000.0,18889999.389648408,36389999.38964844,9170000.076293945,750000.0,2230000.01907349,90839999.73349273,2.94894385,7.434200420721234,6.819819383508095,43.101366538082885,759999.9999694824,4.971050865989116,15.112302724513473,2.26786206311863,100.0,15.022315216575246,182.45871726422143,13.1776104151094,100.0,0.336,1090.7344431784888,32.22536641299416,8.69,3.5743,1003383316.7787342,1.9083928343306409,2186440144.9052854,1326000.0
Bahamas  The,BHS,2000,50.935064935064936,82.007,1.5685884628526505,100.0,16.49141747524109,8.0,0.45638253102830806,3.092233446939711,0.6334844317032944,32.81136437082042,2.5011018929157793,38.047562858526064,41.59738103404087,79.64494389256693,0.0065462344231874,1.0326211496833408,8076470000.0,28034.196516134623,7936270000.0,12.0,2.3,1.8,4.8,8.7,74.0,4204000.0,5179999.828338623,-6111311.653232813,19616138.77350077,3997809.876002401,3396517.259866763,5189999.828115106,3.8048703700000006,10.432922590391009,11.566149735108583,43.06411356368458,140131999.99996948,7.180123806807697,32.527688111235264,1.5793331958001935,100.0,35.9249662400938,124.97495720229318,3.0007525695165005,100.0,0.26622607864538983,383.95695896913355,35.26609759150994,3.5,1.5396264064921654,1115875172.6320984,1.0893189955207685,4432015242.29075,1726951.8552470454
Bahrain,BHR,2000,0.5211267605633803,88.372,4.310689842549522,100.0,4.596680388009856,6.153732546,3.95279056199388,4.67671649095134,0.27639363917975657,119.46508590964449,4.677141587174825,79.18066702859741,56.628468299267816,135.80913532786525,0.0004429970159973,0.6076988650864746,9062898936.170212,42181.90604300478,8839275265.957447,8.545940871032863,1.8000000000000003,1.4,2.7,3.3,157.0,3869000.0,175963038.336922,1120000.0047683716,29999.999329432845,15105964.281764537,6694049.112841256,1640000.0136345625,3.56132603,11.106887453237468,8.281287454137122,9.734954443400468,9552708.29397583,23.893712101834158,21.01685206770911,3.9616709688485305,100.0,73.09305826596042,36.0,11.078381261869803,100.0,0.3635529816382829,542.970315427748,30.233135939458034,2.7499999999999996,1.0202,317386731.4612493,1.0480413552110688,4213034386.692232,5132159.281901334
Bangladesh,BGD,2000,14.752462856264886,23.59,3.610831944820651,81.2,59.021800994873,0.071039423,0.930880741084979,0.20665651137223,0.40862056014278986,28.615440996277886,0.384611039455026,12.3442012279919,16.9775131339119,29.3217143619038,0.20099616771027,0.5894425220648671,53369787318.62453,1331.5484286104827,55101749155.237526,5.0,6.9,4.2,5.9,8.5,219496.0,199000.0,62540000.915527284,201619995.11718798,36680000.30517581,103360000.61035198,18379999.1607666,691349994.7711834,2.07144356,11.64757704522242,4.869155827645068,13.546255652044128,2000000.0,0.1695939416563313,60.37343180815417,1.3571191812402,100.0,4.107529953065772,364.0,3.53893810027274,100.0,0.24700254979723213,136.6130436030469,6.8651620584076625,1.220185640333924,0.46168591753681354,77833404.091815,0.4524574096496135,217160343313.1806,1128000.0
Barbados,BRB,2000,14.651162790697677,33.827,-0.5667459934028445,100.0,14.318799972534201,3.973678355,0.721163907992956,0.36593827273845203,0.2414387715117887,46.67429318516098,0.365938272738452,43.235822846870406,47.34270305605492,90.5785259029253,0.0047336582060701,0.39733160794312283,3059500000.0,12705.122873718114,2964350000.0000005,11.0,1.0000000000000002,1.5,3.3999999999999995,4.9,52.0,1078000.0,300000.01192092896,289999.99165534973,39999.99910593033,189999.9976158142,59999.99865889549,2890000.0248104334,5.33187246,10.008713620825905,9.680292945609914,38.03441033838155,22832500.0,4.5670341164814685,21.189406142445286,1.600496804269038,100.0,55.77806831181565,22.0,4.20697785454309,100.0,0.3077115632211544,325.9108604946749,25.952091517784776,1.9516261361688068,1.3444,1675293443.826769,2.1757714114622044,909766094883.1437,2036478.0817461575
Belarus,BLR,2000,40.785841056990726,69.973,0.23304985790909516,100.0,5.64370012283325,1.860398126,7.87578103827782,1.36012172311899,0.5132884497604283,125.37962293897395,1.36012172311899,69.2108213448948,72.3983446101294,141.6091659550242,0.717797499736852,1.0817370140353637,12738912133.89121,5808.357425870872,12686259414.22594,9.0,1.5,1.4,4.2,8.6,882.0,2030000.0,4380000.114440948,209999.99344348907,4449999.809265137,209999.99344348907,79999.99821186066,16539999.93391335,5.2760601,6.048175830285264,3.243640756937058,38.38768115942029,200000.00003051758,5.309826736716164,9.146030553283206,1.3469841507576499,100.0,29.602816887790485,181.25973607714752,14.0876945822948,100.0,0.7221,1347.1086563965719,47.00282271400033,12.61,3.2998,1613089021.0173273,2.3878349266099033,12954885799.031988,4747000.0
Belgium,BEL,2000,22.03764861294584,97.129,0.3084313123072322,100.0,1.44379997253418,29.43169169,0.882119779027951,2.28405471509445e-05,0.19070965083467703,154.90049895388188,0.0001789815403461,72.54739515805667,69.68273990897758,142.23013506703427,0.024653344662918,0.44443409011735513,236204532891.10007,27784.57150416843,242291966095.4487,12.0,0.7,0.8,2.5,3.8,545.0,6457000.0,78672288.49164471,31094859.95897293,43174337.32184911,6088478.889624208,3750085.796176862,658392302.7849065,7.999176499999999,4.215903103337986,4.983093284339309,32.64241543920194,86361709999.99997,11.440556029752468,8.631170956497833,1.34121027642881,100.0,77.25529978890413,161.0,6.43243066163186,99.2754155655164,1.9361900000000003,2970.19422,60.55369290842169,6.72,2.8204,7640576702.777499,3.0914705843636603,222547562775.2797,7932000.0
Belize,BLZ,2000,63.976326172731255,45.398,3.02276579721544,95.0,34.5526008605957,5.963835303,0.943704429742731,2.3611504368154703,0.0012822220087655,86.53092648362531,0.0012822220087655,52.97222615650836,73.6730377264624,126.64526388297077,0.274196077282364,0.0016327068735941,832072450.0,5558.968226643655,779173350.0,8.0,2.3,2.4,6.0,11.0,146.0,374000.0,-519999.9809265137,670000.0166893005,170000.00178815424,1700000.0476837158,209999.99344348907,9690000.278875232,3.9903397600000003,11.111581656287473,7.454288671242295,27.43331480554959,6223889.490020752,1.819578666451013,43.01026079143183,0.8552520882158521,100.0,36.290864059637904,206.97213483671555,6.36232976383274,100.0,0.21651825540321537,230.15511268408162,24.989746137319095,1.9,1.015,2315814665.4620624,1.363506731066282,881534600.0000001,1419115.8250336265
Benin,BEN,2000,36.67213550904576,38.333,3.8169062297098506,47.4854698181152,70.2928009033203,0.22524785100000003,0.848356986598904,0.07492087650671242,0.8223807974766427,28.55120671571878,1.3539713271421925,20.605302548955446,26.74284895232899,47.348151501284434,3.26907071298848,1.4028422991097957,3519991326.484636,1759.7203568593316,3507693520.77138,6.0,21.1,11.1,10.7,12.1,24217.0,1068000.0,29719999.313354492,6159999.847412109,21719999.313354492,140000.00059604645,15090339.583432466,193349998.70136392,3.10270309,13.538259429016023,7.047215785976681,19.60738643394204,-69088213.01202393,0.2228389212498903,90.91478049150066,0.412852302408383,100.0,10.54473881388029,114.9142990133127,7.254961502795279,100.0,0.22330433581382164,67.54295804734264,4.83280236529822,0.627077874808741,0.11711723353744323,38108911.505502835,0.782756011020313,606180662055.5067,1401246.2534344236
Bermuda,BMU,2000,18.51851851851852,100.0,0.8902087736141642,100.0,11.178293356918902,42.94986002,1.6953062725924755,2.680883049441349,0.30876089207423635,22.1537782536099,2.4504727126951558,32.85237447732249,38.54367956363183,71.39605404095437,0.20960350006143189,0.6884280836983637,3480219000.0,53983.10780265028,173246297220.6402,13.0,1.6502328252351406,1.6426962865153312,4.211833987738855,5.862669872524279,6201.528938528283,539000.0,158469152.01784444,19187941.035599947,9999.999776467681,19999.999552965164,15202256.659653172,59999.99865889549,6.613507806058757,6.662805876158045,6.600137634444962,25.553481394635405,13900000.000030518,4.510299690476074,24.675340747745768,2.0025611594278776,100.0,61.66278616374429,22.0,2.28818691121647,100.0,0.4533058115991659,838.6644308699588,36.02364235407207,2.1953717157732995,1.7931727960409036,502247689.14714885,1.1247354601671884,89112311181937.34,3011652.9888727907
